,c5cafc32-364e-4b2e-badd-c98b756f45aa,45df778f-8143-4c39-a4f5-11a93098fa01,8b900ee4-57aa-4f85-ac7e-2ceab9adf9e5,4a4918e3-7839-4b54-ab2b-cc4f9e6d7062,e4c2bb96-271b-4aff-ba38-fda95b754caa,04ed23dd-2289-4847-a885-d2c1211b8057,f1a5da59-e5e9-431c-a4e1-34fa8bf578eb,2719854f-4dca-4ea6-ab05-42410697b8b2,26bd15bc-3457-4582-8f8b-55ce52d4e45e,deb7fec0-faa1-4f97-b1da-93e2f17e3d6d,31079f7e-ae60-489f-bc7c-54de04c4c0f3,09761e2d-ed3c-494e-b80f-c6451c7723aa,27b7cdbc-4261-407d-8f40-36941ff9718a,5a3f5472-6f9c-4afe-a3e8-a87b8aff3819,1423edff-60fb-4d30-a97b-af31fac9afca,27601986-3ffe-4d36-b62d-f45b73e2d03e,69ab56a9-162d-409f-9845-cc4e826bd60e,f2a8f818-497b-4a73-b03b-f62cef0497be,6ddb14c8-2574-481d-86a9-345f9cd8e340,4d509ffa-d16e-460e-9675-162f6c7eaad6,09460286-7564-40b5-81bb-af0e47f945a3,a388e241-010a-41e7-b45f-a5314f42b695,d36f0c56-5087-475e-970e-a21c4c88f72d,9d9815f1-e225-48c6-befe-9db7efeb82ca,612ccf1d-a9fa-454a-bdc4-cfc7199b15fa,2562cdd2-24a9-45be-854d-68ad2143b89f,42a44630-4204-419e-8e7a-abae6acb8858,1c5b66b6-c08d-454c-9388-5e73847a5395,0c252dc1-33af-4a62-9316-dc2d16fd20c0,b147e7ae-38ed-4cd6-921f-195db298c563,3aa4a10a-da75-4ded-9591-72c3522ceaba,99b8e413-eafa-4c89-bee3-93894994ac03,60d252dd-587f-4036-b376-30fe88a92fac,a9e1bb29-f44d-4d6c-997f-f3e413d04446,4c4aec81-3bb4-49b7-9cd3-16103314ce9f,90850af2-7e41-4de6-9fac-7deb4fde2fd6,4cd39065-bd1f-443c-a760-01338f80afde,47768c8e-8bf7-4065-9649-752d77d78cb8,bcbdf2f6-5772-4d89-ba2c-23aad230be20,9d2de6ab-4d2a-4468-b86b-ef6e0c79d0fd,80c83d1c-1357-4403-a1a7-9614e6f59da4,fd2366b8-b5be-446d-8ceb-ffdb58025c67,dba686b6-3071-4661-8523-2c5883dc169e,8fdcc787-add3-4a31-8a6e-2fa9972a0e96,dec08dbd-b8cb-461b-bc70-f0cf78038f30,c2df293f-3cbb-4645-9f08-97faa7705196,9b6f792f-1d4d-4b63-9fc0-968dd34c9495,2dc6dc5a-a650-4152-baee-c2d6bba56266,e7d7d3a7-c6fa-44a3-83e3-69ec122e3241,fabb65ce-3c90-469f-a5ce-c68005c8ec7f,457e110a-621f-413d-b489-fbcec91fa94a,cc62fc77-31ba-44a7-9c10-25fb9c0ddc0a,00322f99-8a91-4a66-b947-2ff7acff40f4,ba94221e-e2dc-42c4-9b02-43b57b3b2467,42382a6b-7f65-4e8e-b917-6b88a5b92d98,5c761a20-88d5-41c1-9db7-0efd5f48199b,e44ae6cc-e318-49a2-af8f-81ed0f3bd63f,1c135f01-be24-43b3-9fd3-f2903b163f34,5653d078-ebb5-4215-96e6-b55c8ed45331,7e25ac91-8d7f-4db4-a339-b978dd095baf,9418c77f-f06c-4617-9bf1-4eabf1968e2d,6a8c58e7-5a9f-4d19-9bf3-d085e1007437,3811cb12-4f62-474d-9005-e3939d0fe26e,373f36ef-e694-4107-b6cf-761f72c44dff,67fdb940-3bb8-4794-83ac-5d583b332104,d3fdfff3-8dae-4472-bd16-71011354e8ce,2a21a6ec-2dc8-4d25-a033-2272fcd6881f,20e09224-8b78-4e4b-886d-a459e8e302b3,8a0ddf55-5361-4b5e-a4aa-2e7b33d2da63,4c3152e9-8633-4413-9bdd-5ebf66794024,b0fe041d-76ec-427d-aafe-c53ed25cea57,1466ea77-30b8-4e80-ade5-8f5fc59014a2,9fd7d90f-c238-4b6c-9c85-d392b6edb4af,b01c5c27-1930-4d55-a063-ba0fa6af2eac,42c32237-eb06-4e4e-9867-61f4ce5f7d02,1bec9fab-a71c-45e6-816a-9850a7265dd8,377d2cd4-d538-4d65-b3ea-94c00d0cb9f5,401d1aca-924f-402d-ad3f-116de5056b8c,e354ec18-7df7-403a-902f-e9c10facb1ce,568e6e2a-f4ed-434c-afde-dec75e7abeab,cf676ff3-0d30-4e97-9eba-dbe0df97cca9,54c81ceb-b543-4d95-a743-2ec62082e5e6,1c4ee341-e08b-453c-bf82-c8f092d307a2,e696aeff-c724-446c-b2f4-b19d784b54a3,d5325ec6-dd3a-482b-af13-146de9b747aa,c5a7dee1-32f9-4be2-8c1c-b5f4c6988598,906085ff-ad64-4533-a6f2-8a36b8f84b74,e7a6b442-fa97-4282-ba4a-694c954a7fea,e1b2e775-7797-4571-ae95-70a49612a1a2,25df9a63-18af-48e2-ade0-9ce94c5a5088,acf91ff1-557e-4c85-888a-521e3b875fa9,85e22879-6c0d-4341-ad47-d7af61afd983,97f02acf-31ff-4013-bf73-1e55fd85edf1,1701f903-ae87-4991-a3a5-fa3936eb0b9e,bdd9f4a7-a35e-421a-a0ac-0498fde76069,892806fc-a7cc-4f87-b58a-9251af4432e3,29b02e04-5c12-40a5-83c4-fb135badea3d,1e346c50-5f73-4757-85a8-a8d46cfdd939,ff1be36b-b6bc-4544-a1b0-742e46f02ee0,1fc54c76-3b07-4991-9b8c-803c013c77fa,a76c5163-1428-4269-bd53-2ac30c997cd7,dccda006-5f62-4194-9dc8-10206396998c,cef1953d-f342-4b15-ba5f-a7aa8e31234a,8d45f1ce-1d55-4f5c-ac86-012a3626dc4c,4f3fd361-17f8-4ac6-b24b-27c7c78b30cb,f32547c7-a5e2-420e-9a45-b5fbfb88251b,4ff3280d-5fde-47d5-bfb2-e3ae0eed61e0,01905cad-0a58-493c-abb5-03ec52dffacd,febf0b9a-935e-4fd2-8d0c-ba8aad3c66c5,e24d4c4b-e7f9-4720-a058-d068231ddad8,d0acf5b3-d8ae-4746-a528-9b15448fc05d,de79437e-5d3e-4b89-9c8e-f8781f2e4eab,a6146981-7bf4-4ebc-baf1-44186b8f3469,acbd58a2-1e00-422e-9591-235f1de32a52,219fed26-76f5-4488-bab1-f3e28b58df41,941567b8-8f25-496e-9143-26dd48d3840c,7b91512e-3467-4fa1-806a-8403a7964969,24652f78-f44f-43d1-960a-3589d61e9b62,19070744-7b3b-493a-90cb-186d0262a73d,f38e4afd-3d0e-48b5-9638-bd0f5fb2d7ba,2a2d6fd6-40cf-451d-a67c-75a627bd4874,19088df0-3d0c-4d0b-af57-d50373bfafbd,9a899dde-fd6f-40c9-90d7-15ed25dc6362,1ac12ffa-7d7d-4053-95d3-37132eca4174,9d9c6149-f3de-4909-b733-2d4dffa9030a,35e9e22c-87b1-4b7b-a4f3-12a6e66ccbdd,f99b77cd-a341-429e-a82a-df263d1eea39,3b94cd1a-ca0d-4191-acae-073154eafb46,09988c87-b3cc-495f-b607-660c2a85bc79,65f13de8-d818-488f-a555-7aad2c73b54e,99a0553f-3ad5-41b0-89f2-243a4fa63e5a,b3be76b6-2f43-4dea-b53f-09f341de7c4b,8c6a7503-e436-408a-9007-80d367c621f7,4822fdff-3099-444c-aa64-ee5331d53448,7e842bc8-1142-46e1-b84c-191ccd38a860,b1d5f776-cfac-4306-bb04-b8027a79b228,64588998-6b89-4384-a1a7-9a5259fa1532,54e906c9-6825-42dc-b4ad-abc82ab4b0c4,a8bbbe4d-fac7-41c6-9d33-1729b744de43,402d4cb0-74c0-479d-aa16-16d66779cbb0,499e802b-9518-491b-aa92-3dbd8bedcb17,9b44086e-cde5-44a3-b9b2-5410b270fbb5,65c8cff6-575a-47ff-9cef-c775fc9f9771,ac17c28d-5720-434f-9426-fd0b078511c8,adce1ed4-5de2-4545-beb9-2ff2c09cc75e,0a0ccd62-d190-4628-a944-735e2ae4b738,e5882377-031e-4a7f-a314-fa0704bb51b2,f6ff96f3-fcb6-4c8d-84a1-6632cd93c137,26cf0a80-0c77-48e6-9f03-2e1de7d88550,418587de-1b75-4819-a7b1-e00335dd74ed,6dfa5e69-1933-4772-bb05-89b450e52de5,0db89241-eeda-41b7-8b1a-abefff45f9e7,900f79d2-1f47-42f8-8fe3-ae4d14ce5350,9aaf12ea-60a0-4919-8765-264de6f26322,b8b37ec3-0b6b-4922-946b-cf61e9132f83,dbe959b4-bc5b-43ba-9f6d-f5a5cdaa6703,357006a0-0df8-448b-a378-1f6210c62f6d,40d49897-34fa-49cf-92c6-695d9e05cec2,9485a08e-92d5-4810-add3-00fcde1b9b52,5db8c1e1-dba5-4623-8f61-ea80898cbeb2
f851130e-e08a-451b-b7a3-f1a1908fc395,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,0,1000,1000,-30,1000,-10,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,0,1000,1000,-30,1000,-10,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,0,1000,1000,-30,1000,-10,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,0,1000,1000,-30,1000,-10,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,0,1000,1000,-30,1000,-10,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,0,1000,1000,-30,1000,-10,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,0,1000,1000,-30,1000,-10,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,0,1000,1000,-30,1000,-10
b377434e-c3ca-471a-87f6-4701d37c3045,-30,1000,1000,-100,-10,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-30,1000,1000,-100,-10,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-30,1000,1000,-100,-10,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-30,1000,1000,-100,-10,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-30,1000,1000,-100,-10,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-30,1000,1000,-100,-10,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-30,1000,1000,-100,-10,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-30,1000,1000,-100,-10,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000
e83b79e7-5378-4422-9b69-a9d220de7af6,-30,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,-100,1000,1000,1000,0,1000,1000,-30,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,-100,1000,1000,1000,0,1000,1000,-30,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,-100,1000,1000,1000,0,1000,1000,-30,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,-100,1000,1000,1000,0,1000,1000,-30,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,-100,1000,1000,1000,0,1000,1000,-30,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,-100,1000,1000,1000,0,1000,1000,-30,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,-100,1000,1000,1000,0,1000,1000,-30,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,-100,1000,1000,1000,0,1000,1000
9c6775ab-db44-4605-9e28-e8a7205bc40a,1000,-100,0,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,-5,1000,-100,0,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,-5,1000,-100,0,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,-5,1000,-100,0,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,-5,1000,-100,0,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,-5,1000,-100,0,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,-5,1000,-100,0,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,-5,1000,-100,0,-30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,-5
5bfe3cbd-ccd2-42d8-aaec-de73e972ab3f,-100,1000,-30,1000,-10,1000,1000,-5,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,-100,1000,-30,1000,-10,1000,1000,-5,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,-100,1000,-30,1000,-10,1000,1000,-5,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,-100,1000,-30,1000,-10,1000,1000,-5,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,-100,1000,-30,1000,-10,1000,1000,-5,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,-100,1000,-30,1000,-10,1000,1000,-5,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,-100,1000,-30,1000,-10,1000,1000,-5,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,-100,1000,-30,1000,-10,1000,1000,-5,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000
234f97a0-0b26-4d76-9eed-fe56aecb1dcb,1000,1000,1000,-100,-5,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,-10,0,1000,1000,1000,-100,-5,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,-10,0,1000,1000,1000,-100,-5,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,-10,0,1000,1000,1000,-100,-5,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,-10,0,1000,1000,1000,-100,-5,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,-10,0,1000,1000,1000,-100,-5,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,-10,0,1000,1000,1000,-100,-5,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,-10,0,1000,1000,1000,-100,-5,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,-10,0
ed1272aa-c33f-421b-bf11-53f49fb8f393,-30,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,-5,1000,1000,1000,-10,1000,1000,-30,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,-5,1000,1000,1000,-10,1000,1000,-30,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,-5,1000,1000,1000,-10,1000,1000,-30,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,-5,1000,1000,1000,-10,1000,1000,-30,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,-5,1000,1000,1000,-10,1000,1000,-30,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,-5,1000,1000,1000,-10,1000,1000,-30,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,-5,1000,1000,1000,-10,1000,1000,-30,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,-5,1000,1000,1000,-10,1000,1000
248cd311-9184-4bff-b781-3eef3e7ed1f3,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,-5,1000,1000,1000,-10,1000,-30,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,-5,1000,1000,1000,-10,1000,-30,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,-5,1000,1000,1000,-10,1000,-30,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,-5,1000,1000,1000,-10,1000,-30,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,-5,1000,1000,1000,-10,1000,-30,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,-5,1000,1000,1000,-10,1000,-30,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,-5,1000,1000,1000,-10,1000,-30,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,-5,1000,1000,1000,-10,1000,-30,1000
4cac4d74-6a32-4f8f-af75-29a5d835ec1e,-100,-10,0,1000,-30,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,-100,-10,0,1000,-30,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,-100,-10,0,1000,-30,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,-100,-10,0,1000,-30,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,-100,-10,0,1000,-30,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,-100,-10,0,1000,-30,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,-100,-10,0,1000,-30,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,-100,-10,0,1000,-30,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000
1d5c660d-d3f8-4a76-b5b7-4f9ac389376e,-10,1000,1000,-100,-5,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,-10,1000,1000,-100,-5,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,-10,1000,1000,-100,-5,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,-10,1000,1000,-100,-5,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,-10,1000,1000,-100,-5,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,-10,1000,1000,-100,-5,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,-10,1000,1000,-100,-5,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,-10,1000,1000,-100,-5,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000
8678c725-ecd3-42ce-8399-1d7b91e76130,-100,-10,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,-30,1000,1000,1000,1000,1000,0,-100,-10,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,-30,1000,1000,1000,1000,1000,0,-100,-10,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,-30,1000,1000,1000,1000,1000,0,-100,-10,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,-30,1000,1000,1000,1000,1000,0,-100,-10,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,-30,1000,1000,1000,1000,1000,0,-100,-10,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,-30,1000,1000,1000,1000,1000,0,-100,-10,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,-30,1000,1000,1000,1000,1000,0,-100,-10,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,-30,1000,1000,1000,1000,1000,0
4a93be1b-c634-4f12-8bfc-56183a135a0d,1000,1000,1000,-100,1000,1000,1000,1000,1000,0,1000,1000,-10,1000,1000,-5,-30,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,0,1000,1000,-10,1000,1000,-5,-30,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,0,1000,1000,-10,1000,1000,-5,-30,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,0,1000,1000,-10,1000,1000,-5,-30,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,0,1000,1000,-10,1000,1000,-5,-30,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,0,1000,1000,-10,1000,1000,-5,-30,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,0,1000,1000,-10,1000,1000,-5,-30,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,0,1000,1000,-10,1000,1000,-5,-30,1000,1000,1000
afd28a0e-e315-4a96-9b86-4a6c3de17085,1000,1000,1000,1000,0,-30,1000,1000,-5,1000,1000,1000,1000,1000,-10,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,-30,1000,1000,-5,1000,1000,1000,1000,1000,-10,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,-30,1000,1000,-5,1000,1000,1000,1000,1000,-10,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,-30,1000,1000,-5,1000,1000,1000,1000,1000,-10,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,-30,1000,1000,-5,1000,1000,1000,1000,1000,-10,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,-30,1000,1000,-5,1000,1000,1000,1000,1000,-10,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,-30,1000,1000,-5,1000,1000,1000,1000,1000,-10,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,-30,1000,1000,-5,1000,1000,1000,1000,1000,-10,1000,-100,1000,1000,1000
36ed5553-9840-4504-b8d8-34e161f76a8c,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,-10,-30,1000,1000,1000,1000,1000,1000,0,-100,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,-10,-30,1000,1000,1000,1000,1000,1000,0,-100,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,-10,-30,1000,1000,1000,1000,1000,1000,0,-100,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,-10,-30,1000,1000,1000,1000,1000,1000,0,-100,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,-10,-30,1000,1000,1000,1000,1000,1000,0,-100,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,-10,-30,1000,1000,1000,1000,1000,1000,0,-100,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,-10,-30,1000,1000,1000,1000,1000,1000,0,-100,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,-10,-30,1000,1000,1000,1000,1000,1000,0,-100
f991af27-cd47-44d7-9570-0ffbc96e9b12,1000,1000,1000,-100,1000,-30,1000,1000,1000,1000,1000,-10,1000,0,1000,1000,1000,1000,-5,1000,1000,1000,1000,-100,1000,-30,1000,1000,1000,1000,1000,-10,1000,0,1000,1000,1000,1000,-5,1000,1000,1000,1000,-100,1000,-30,1000,1000,1000,1000,1000,-10,1000,0,1000,1000,1000,1000,-5,1000,1000,1000,1000,-100,1000,-30,1000,1000,1000,1000,1000,-10,1000,0,1000,1000,1000,1000,-5,1000,1000,1000,1000,-100,1000,-30,1000,1000,1000,1000,1000,-10,1000,0,1000,1000,1000,1000,-5,1000,1000,1000,1000,-100,1000,-30,1000,1000,1000,1000,1000,-10,1000,0,1000,1000,1000,1000,-5,1000,1000,1000,1000,-100,1000,-30,1000,1000,1000,1000,1000,-10,1000,0,1000,1000,1000,1000,-5,1000,1000,1000,1000,-100,1000,-30,1000,1000,1000,1000,1000,-10,1000,0,1000,1000,1000,1000,-5,1000
96d13331-ae68-4dc2-81af-b00830c8c4f4,-5,-100,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,-5,-100,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,-5,-100,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,-5,-100,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,-5,-100,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,-5,-100,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,-5,-100,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,-5,-100,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000
3ff36a9c-b211-49b6-a25f-9c306c742b2e,-100,-30,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,0,-10,-100,-30,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,0,-10,-100,-30,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,0,-10,-100,-30,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,0,-10,-100,-30,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,0,-10,-100,-30,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,0,-10,-100,-30,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,0,-10,-100,-30,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,0,-10
2daa937d-66b4-43a3-8cdc-ca012160c7d7,-10,1000,1000,1000,1000,-5,1000,0,1000,1000,1000,1000,-30,1000,1000,1000,1000,-100,1000,1000,-10,1000,1000,1000,1000,-5,1000,0,1000,1000,1000,1000,-30,1000,1000,1000,1000,-100,1000,1000,-10,1000,1000,1000,1000,-5,1000,0,1000,1000,1000,1000,-30,1000,1000,1000,1000,-100,1000,1000,-10,1000,1000,1000,1000,-5,1000,0,1000,1000,1000,1000,-30,1000,1000,1000,1000,-100,1000,1000,-10,1000,1000,1000,1000,-5,1000,0,1000,1000,1000,1000,-30,1000,1000,1000,1000,-100,1000,1000,-10,1000,1000,1000,1000,-5,1000,0,1000,1000,1000,1000,-30,1000,1000,1000,1000,-100,1000,1000,-10,1000,1000,1000,1000,-5,1000,0,1000,1000,1000,1000,-30,1000,1000,1000,1000,-100,1000,1000,-10,1000,1000,1000,1000,-5,1000,0,1000,1000,1000,1000,-30,1000,1000,1000,1000,-100,1000,1000
05d7aedd-7f38-49f5-b277-0caa16173a84,1000,-5,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,-100,1000,1000,-5,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,-100,1000,1000,-5,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,-100,1000,1000,-5,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,-100,1000,1000,-5,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,-100,1000,1000,-5,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,-100,1000,1000,-5,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,-100,1000,1000,-5,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,-100,1000
