,4b5f35d0-f60f-4dbf-8ea9-bf0fcb9fbb6a,48e467ca-6f84-40e8-8023-d98c2f40ec42,7518e852-5da2-4ef4-ac7c-be96b193724f,a3078d2f-4d1f-40ec-ae2e-7f5b719066b7,188ac0f0-93de-4465-b8ed-2239e2587132,7c593fe1-5baa-4581-8685-d872642be81a,59afaefe-d231-4c3f-97f5-0de576b9b432,4c61a61c-677d-45b1-a60b-5e547b6cf83a,e340b0fa-be40-48e5-b638-c0ea63f80456,a3ee5b3f-b19a-4740-9019-8e1f3ee9fdfe,fcdd24c3-74d4-43a1-b9d5-13dc79720a2c,7dddf63c-dbc0-4b2a-8821-b74f3dcce97a,1b6ea12f-6785-4532-b058-b17043d95f0f,04cdc51f-98d6-4517-8b21-a38141da6531,b0ceaba6-7ee6-41d4-877e-495aad15a4d6,5cdfd7ba-dc62-4c64-a2d2-7bfee1c0efb2,43627cfe-2aec-419f-bd69-93d01e85cfb7,0ef801a5-fe1c-404a-8f96-7eb08bde5bcd,4f80bd1e-e7dc-4bd5-929e-a0c33a9883e8,950d5686-0187-4514-a06f-6a92f547156e,0ed09956-c68d-4282-9812-2f02eb95bff7,5c4db8ca-e123-4caa-afd9-5bc8b3ccce2f,fd6b8e6c-47c6-4fc0-814a-52f978b9407a,342968a2-4e08-4886-94b1-daede0fd7542,989e48c7-3c73-4f68-9f7a-e0bde14fc3d3,e6ad56f4-853c-4a6d-bd3d-faabe546361e,47307512-8b75-49ff-9585-9cfd35a4c8b6,2d73d8ae-3e2a-46de-a46c-1d6d7a5a08f7,c2d88610-d9bc-42a1-a374-e30d74710abe,601e98c4-d3c8-448a-bb34-fb67c7f47a20,bfa1b48e-78ae-4f56-93d8-1eeb35e84bba,9889fbe2-6513-4d06-a275-aa3d508e2c25,9ab5c76e-3c9d-42a9-84d3-94af9638d815,fc2fc56b-bd3d-4795-ace7-6de074db2e90,d21be9a8-c8e6-4a26-b13c-06f443d50df9,28cc47e3-c562-45e5-8fd4-6819e6cd6c65,0d478ca8-6d3e-4f09-a315-f4dcc0264bf6,07deb106-4b45-4e25-8c84-fce6a263eab8,c84bd17e-eb24-4754-8f5e-ecbde16f7d4e,711630c3-610b-4a8e-9478-4eeb40ae933a,da1993ec-e8f6-46cb-a955-858da98d2f97,91b8f716-dcc4-4e8b-b011-39edbb011827,65338133-f47f-45f5-825e-5b9c45ce13d9,41957be1-9839-493b-a362-5d04fc080767,2cb76270-ae98-4c6f-9e5f-1fe17ce6ce2b,3b3ed463-3314-4859-bc71-f86934be9020,2eca7a6c-41da-4d9e-8a2d-65b2c3cdc27e,6013131b-db47-4898-ba49-f9d143a2ef82,62f8f76b-5121-4240-a44b-74512926fdd8,1a9f11ca-2647-424e-b8c3-f7bd2c6c3cfa,df9d87ac-c090-4033-9c2d-b157352f39c0,d2903b7a-a5d8-40c5-9d07-d6e17f3a8fcd,b9070501-5d5b-4b27-9a76-1b9e4c09385c,71da602c-6e5b-4cc8-b894-bdd8d0ba0800,90700816-edd9-4a57-a101-551177eb9783,6dc96314-98f7-494e-bc0c-343a075f6841,52e14fdf-4225-4674-bdf5-906e40482d48,61b561a0-aebc-49d9-a6b2-e89bf3b96a5d,173a58c5-80f7-40cb-ac6e-0bd44a59a448,c2d59a31-b606-4f5d-8388-8ae302fa0360,d6576a8c-36d5-4f01-aa85-6b35fe248145,d39ccd3e-7ae6-4364-a783-0acb96476c6f,db197a9e-f5bf-4b3b-a38b-25549b795bc0,5e7a56d5-2b26-47c2-9ce5-649dab2cc1bb,64e155d8-57ca-4e68-9277-78db7c84c139,053bffc1-c364-4a12-b363-b036dd90aba8,b3c41ef8-c94f-4d18-8252-1aa006477aa4,ff71686d-6370-42df-9bfb-a50465463833,2a564608-eac8-4f39-81f9-8b5f96fbae47,154acca1-59c9-4f3c-917b-a101d154c680,8ba665c6-a703-4fd6-b708-1dd787f469e5,52da50c2-1aaf-46fc-b63a-380e908ee4c9,68bad8d6-5c20-4a6e-bb7c-ede3b5a89d99,dfa1e265-49bf-4cfb-b019-a9110a2f645e,bb3d2294-bdcd-473e-8caa-a4fabf646e6f,aa7063ee-0734-4033-9db2-fb9210c87c18,2dee53a5-e295-4ea6-9658-d29053dd3fe4,b5af0fc0-c4a6-4f7a-b9dd-a164fd7bed27,025bca5f-7008-4acf-8c67-4a4b23250b98,bec5f5b4-a402-41c8-987a-2c76c6cb068e
1805b032-2772-43d7-adf8-683d65e95599,-100,1000,1000,-30,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,-10,1000,-100,1000,1000,-30,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,-10,1000,-100,1000,1000,-30,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,-10,1000,-100,1000,1000,-30,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,-10,1000
375d9ee6-450a-4f1a-8dd2-aa98c0528105,1000,-100,-5,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,-30,1000,1000,1000,-10,1000,1000,1000,-100,-5,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,-30,1000,1000,1000,-10,1000,1000,1000,-100,-5,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,-30,1000,1000,1000,-10,1000,1000,1000,-100,-5,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,-30,1000,1000,1000,-10,1000,1000
33a53af3-c67c-4956-b247-ee5e0d682711,0,1000,-5,1000,1000,1000,1000,1000,-10,1000,1000,-30,1000,1000,1000,1000,1000,1000,-100,1000,0,1000,-5,1000,1000,1000,1000,1000,-10,1000,1000,-30,1000,1000,1000,1000,1000,1000,-100,1000,0,1000,-5,1000,1000,1000,1000,1000,-10,1000,1000,-30,1000,1000,1000,1000,1000,1000,-100,1000,0,1000,-5,1000,1000,1000,1000,1000,-10,1000,1000,-30,1000,1000,1000,1000,1000,1000,-100,1000
da51436e-7c73-4141-a8be-f9445a6dd2b3,1000,1000,1000,-100,1000,1000,1000,1000,0,1000,-5,1000,-30,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,0,1000,-5,1000,-30,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,0,1000,-5,1000,-30,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,0,1000,-5,1000,-30,1000,1000,1000,1000,-10,1000,1000
4bf1cf06-8f69-4197-9f01-9c52209e06bc,1000,-100,-5,0,-10,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,-100,-5,0,-10,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,-100,-5,0,-10,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,-100,-5,0,-10,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,1000
23884347-b481-45f3-b687-3013235c3a1f,1000,1000,0,1000,-10,1000,1000,1000,1000,1000,-100,-5,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,0,1000,-10,1000,1000,1000,1000,1000,-100,-5,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,0,1000,-10,1000,1000,1000,1000,1000,-100,-5,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,0,1000,-10,1000,1000,1000,1000,1000,-100,-5,1000,1000,1000,1000,1000,1000,1000,-30
87360414-cd83-48c3-a316-c19e8fa0e8ee,-100,1000,0,1000,1000,1000,1000,-5,-10,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,1000,-100,1000,0,1000,1000,1000,1000,-5,-10,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,1000,-100,1000,0,1000,1000,1000,1000,-5,-10,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,1000,-100,1000,0,1000,1000,1000,1000,-5,-10,1000,1000,1000,1000,-30,1000,1000,1000,1000,1000,1000
26ebacba-5285-4d10-a4ef-9d56c1d01f95,0,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,-100,1000,-30,0,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,-100,1000,-30,0,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,-100,1000,-30,0,1000,1000,1000,-5,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,-100,1000,-30
0990bb5e-5982-4890-9d99-d97a670669c9,-10,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,0,1000,-5,1000,-10,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,0,1000,-5,1000,-10,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,0,1000,-5,1000,-10,1000,1000,1000,-100,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,0,1000,-5,1000
76ac3c2e-4fd4-4886-a0cb-5f502bd324a7,-10,1000,0,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,-100,1000,1000,-10,1000,0,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,-100,1000,1000,-10,1000,0,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,-100,1000,1000,-10,1000,0,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,-100,1000,1000
852edfc3-beb3-49b8-a8ce-769180508cd3,-100,1000,-30,1000,1000,1000,1000,1000,1000,1000,0,-10,1000,1000,1000,1000,1000,1000,1000,-5,-100,1000,-30,1000,1000,1000,1000,1000,1000,1000,0,-10,1000,1000,1000,1000,1000,1000,1000,-5,-100,1000,-30,1000,1000,1000,1000,1000,1000,1000,0,-10,1000,1000,1000,1000,1000,1000,1000,-5,-100,1000,-30,1000,1000,1000,1000,1000,1000,1000,0,-10,1000,1000,1000,1000,1000,1000,1000,-5
c628ac24-8411-450a-9016-268c89dfaf83,-10,1000,-30,-5,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,-10,1000,-30,-5,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,-10,1000,-30,-5,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,-10,1000,-30,-5,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000
67d8b5aa-f683-4a9a-bde4-0c89ee459cf3,-10,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,0,1000,1000,1000,1000,-100,-10,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,0,1000,1000,1000,1000,-100,-10,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,0,1000,1000,1000,1000,-100,-10,1000,1000,-5,1000,1000,1000,1000,1000,1000,1000,-30,1000,1000,0,1000,1000,1000,1000,-100
7442c78a-bcea-430f-9867-12896cd1c4f6,-30,-5,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,0,1000,1000,-30,-5,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,0,1000,1000,-30,-5,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,0,1000,1000,-30,-5,-100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,0,1000,1000
04fdc608-4f94-4c5c-bf4a-01af8a711da2,-30,-5,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,0,-30,-5,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,0,-30,-5,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,0,-30,-5,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-100,1000,1000,1000,1000,1000,0
2ae8566d-7c00-4d63-9507-2f1e1da1f24c,-30,1000,1000,1000,1000,1000,1000,-5,1000,1000,-10,0,1000,1000,1000,1000,1000,-100,1000,1000,-30,1000,1000,1000,1000,1000,1000,-5,1000,1000,-10,0,1000,1000,1000,1000,1000,-100,1000,1000,-30,1000,1000,1000,1000,1000,1000,-5,1000,1000,-10,0,1000,1000,1000,1000,1000,-100,1000,1000,-30,1000,1000,1000,1000,1000,1000,-5,1000,1000,-10,0,1000,1000,1000,1000,1000,-100,1000,1000
63288278-a35b-4a51-b047-21ad19441768,1000,-5,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,-10,0,1000,1000,1000,1000,-100,1000,1000,-5,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,-10,0,1000,1000,1000,1000,-100,1000,1000,-5,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,-10,0,1000,1000,1000,1000,-100,1000,1000,-5,1000,1000,-30,1000,1000,1000,1000,1000,1000,1000,-10,0,1000,1000,1000,1000,-100,1000
a326cd02-447f-40ca-abb4-5d5800723c32,0,-30,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,-5,0,-30,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,-5,0,-30,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,-5,0,-30,-10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-100,-5
2a41aa2f-8de7-46c7-8d72-74656cdd4249,1000,1000,-100,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,-10,1000,-5,1000,1000,1000,-100,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,-10,1000,-5,1000,1000,1000,-100,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,-10,1000,-5,1000,1000,1000,-100,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,-30,1000,-10,1000,-5,1000
2c034c4a-9b08-4528-a63e-1b56fb9f7241,-100,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,-5,1000,1000,1000,1000,1000,1000,-30,-10,-100,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,-5,1000,1000,1000,1000,1000,1000,-30,-10,-100,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,-5,1000,1000,1000,1000,1000,1000,-30,-10,-100,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,-5,1000,1000,1000,1000,1000,1000,-30,-10
d558b1b6-fc21-4a70-b92d-c1bc54653858,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-10,-100,1000,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-10,-100,1000,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-10,-100,1000,1000,-30,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,-10,-100,1000
f0beded3-9b09-47cc-8a47-c32fb1717b75,1000,-30,-100,1000,1000,1000,-5,1000,1000,0,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-30,-100,1000,1000,1000,-5,1000,1000,0,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-30,-100,1000,1000,1000,-5,1000,1000,0,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000,1000,-30,-100,1000,1000,1000,-5,1000,1000,0,1000,1000,-10,1000,1000,1000,1000,1000,1000,1000
b93d39d2-54ce-4c39-b2e5-65c1bd996a7a,0,1000,1000,-30,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,-100,1000,-5,0,1000,1000,-30,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,-100,1000,-5,0,1000,1000,-30,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,-100,1000,-5,0,1000,1000,-30,1000,1000,1000,1000,1000,1000,-10,1000,1000,1000,1000,1000,1000,-100,1000,-5
c35a14e6-9189-4d5e-845a-3d706ee1ab72,1000,1000,-10,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,-30,1000,1000,1000,-5,1000,1000,1000,1000,-10,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,-30,1000,1000,1000,-5,1000,1000,1000,1000,-10,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,-30,1000,1000,1000,-5,1000,1000,1000,1000,-10,1000,-100,1000,1000,1000,1000,1000,1000,1000,0,-30,1000,1000,1000,-5,1000,1000
fa8fa167-cbfd-4d0f-b764-42ff2f6936a4,-100,1000,1000,0,-30,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,-10,1000,-100,1000,1000,0,-30,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,-10,1000,-100,1000,1000,0,-30,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,-10,1000,-100,1000,1000,0,-30,1000,1000,1000,1000,1000,1000,1000,1000,-5,1000,1000,1000,1000,-10,1000
3b9e3df7-c2ff-4366-9567-12cb9107669f,1000,1000,1000,-30,1000,1000,0,1000,1000,1000,1000,-10,1000,1000,-5,1000,1000,1000,-100,1000,1000,1000,1000,-30,1000,1000,0,1000,1000,1000,1000,-10,1000,1000,-5,1000,1000,1000,-100,1000,1000,1000,1000,-30,1000,1000,0,1000,1000,1000,1000,-10,1000,1000,-5,1000,1000,1000,-100,1000,1000,1000,1000,-30,1000,1000,0,1000,1000,1000,1000,-10,1000,1000,-5,1000,1000,1000,-100,1000
