Timestamp,"DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C10]  SUGAR:  LOOKING AT OUR FAVORITE MOLECULE IN FOOD, CULTURE AND THE MEDIA]",DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C11]  PERSONAL IDENTITY AND IMMORTALITY],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C13]  AN EARTH RESTORED: INTERSECTIONAL ENVIRONMENTAL APPROACHES],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C14]  STUDY SAYS:  CHOCOLATE MAKES YOU SMARTER!  SEPARATING SCIENCE FROM SENSATIONALISM IN CLAIMS ABOUT FOOD],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C15]  NEW YORK VOICES:  LITERATURE OF NEW YORK],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C19]  INTERNATIONAL HEALTH POLITICS],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C17]  FROM AMELIE TO EMILY IN PARIS: MYTH AND REALITY IN THE CITY OF LIGHTS],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J2]  ACTING THROUGH THE AGES: TRUTH IN PERFORMANCE],"DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J21]  LATINOS IN HOLLYWOOD: REPRESENTATIONS, STEREOTYPES, AND IDENTITIES]",DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C12]  SCIENTIFIC LITERACY: SEPARATING FACT FROM FICTION],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C1] THE FORTY STUDIES THAT CHANGED PSYCHOLOGY],"DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[C18]  FROM WEST AFRICA TO AMERICA:  FOOD, MUSIC, AND CULTURE OF THE PLANTATION]",DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J26]  HISTORY IN GRAPHIC LITERATURE:  ADVENTURES IN THE PICTORIAL PAST],DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J29]  WHY WE BUY: THE SCIENCE OF SHOPPING],"DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J27]  THE SIXTIES: CIVIL RIGHTS, THE VIETNAM WAR, AND ROCK 'N ROLL]","DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J28]  FOOD FOR THOUGHT, THOUGHT FOR FOOD: CHINESE FOODWAYS]",DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J25]  STRANGERS AT THE SHORE: IMMIGRANTS AND THE NATION],"DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J24]  OH, THE HORROR: SCARY MOVIES AND CULTURAL UNEASE]",DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J23]  MORE THAN A GAME: SPORTS STORIES AND WHY THEY MATTER],"DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J22]  MADMEN IN AUTHORITY, DEFUNCT ECONOMISTS, AND THEIR QUARRELS: AN EXPLORATION AND CRITIQUE OF IDEAS ABOUT CAPITALIST DEVELOPMENT]",DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J1]  THE SCENTS OF SMELL],"DSEM Course Selection: Check the box for your top five DSEM courses (you must select 5): [[J20] IN GOOD TASTE:  FOOD, CULTURE, AND SUSTAINABILITY IN ITALY]",Are you finished?
5/7/2022 17:04:20,,4th Choice DSEM,,,,5th Choice DSEM,,,,,,,,1st Choice DSEM,2nd Choice DSEM,,,,,3rd Choice DSEM,,,I'm completely finished!
5/8/2022 13:10:32,,,5th Choice DSEM,3rd Choice DSEM,,,,,,,4th Choice DSEM,,,,,,,2nd Choice DSEM,1st Choice DSEM,,,,I'm completely finished!
5/28/2022 14:41:57,,3rd Choice DSEM,4th Choice DSEM,,,,,,,,,2nd Choice DSEM,,,2nd Choice DSEM,,,,,5th Choice DSEM,1st Choice DSEM,,I'm completely finished!
5/9/2022 4:14:07,,,1st Choice DSEM,3rd Choice DSEM,,5th Choice DSEM,,,,,2nd Choice DSEM,,,4th Choice DSEM,,,,,,,,,I'm completely finished!
5/9/2022 15:53:57,,,,,1st Choice DSEM,,,,,,3rd Choice DSEM,,2nd Choice DSEM,,5th Choice DSEM,,4th Choice DSEM,,,,,,I'm completely finished!
5/9/2022 16:22:23,,4th Choice DSEM,,,1st Choice DSEM,,,,,,2nd Choice DSEM,,,,5th Choice DSEM,3rd Choice DSEM,,,,,,,I'm completely finished!
5/9/2022 16:48:43,,,4th Choice DSEM,,5th Choice DSEM,,,,,,,,3rd Choice DSEM,,2nd Choice DSEM,,,,,1st Choice DSEM,,,I'm completely finished!
5/9/2022 17:09:13,,3rd Choice DSEM,,,1st Choice DSEM,,,,,,,,,,,,,4th Choice DSEM,,,2nd Choice DSEM,5th Choice DSEM,I'm completely finished!
5/9/2022 17:42:39,,1st Choice DSEM,,,,,,,,,4th Choice DSEM,,,5th Choice DSEM,,,,2nd Choice DSEM,,,,3rd Choice DSEM,I'm completely finished!
5/9/2022 18:25:06,5th Choice DSEM,,4th Choice DSEM,,,,,,,,,,,,,,,2nd Choice DSEM,1st Choice DSEM,,3rd Choice DSEM,,I'm completely finished!
5/9/2022 18:28:23,,3rd Choice DSEM,,2nd Choice DSEM,,,,,,,1st Choice DSEM,,,5th Choice DSEM,,,,4th Choice DSEM,,,,,I'm completely finished!
5/9/2022 18:43:51,,5th Choice DSEM,,,,,,,,,,,,2nd Choice DSEM,,,,3rd Choice DSEM,1st Choice DSEM,,4th Choice DSEM,,I'm completely finished!
5/9/2022 21:30:15,,2nd Choice DSEM,3rd Choice DSEM,,,4th Choice DSEM,,,,,5th Choice DSEM,,,,,,,,,1st Choice DSEM,,,I'm completely finished!
5/9/2022 21:43:13,,1st Choice DSEM,,,,,,,,,,,,4th Choice DSEM,,,,3rd Choice DSEM,5th Choice DSEM,2nd Choice DSEM,,,I'm completely finished!
5/9/2022 22:18:53,5th Choice DSEM,,,4th Choice DSEM,,,,,,,,,,2nd Choice DSEM,3rd Choice DSEM,,,,1st Choice DSEM,,,,I'm completely finished!
5/10/2022 9:38:04,,1st Choice DSEM,,4th Choice DSEM,,,,,,,,,,3rd Choice DSEM,,,,,,2nd Choice DSEM,5th Choice DSEM,,I'm completely finished!
5/10/2022 13:02:04,,3rd Choice DSEM,,,,,4th Choice DSEM,5th Choice DSEM,,,2nd Choice DSEM,,,,,,,1st Choice DSEM,,,,,I'm completely finished!
5/10/2022 13:35:14,,,,,1st Choice DSEM,5th Choice DSEM,,,2nd Choice DSEM,,,,3rd Choice DSEM,,,,,,,,4th Choice DSEM,,I'm completely finished!
5/10/2022 17:08:31,,3rd Choice DSEM,,,5th Choice DSEM,,,4th Choice DSEM,1st Choice DSEM,,,,,,,,,2nd Choice DSEM,,,,,I'm completely finished!
5/10/2022 18:11:48,4th Choice DSEM,,,,,1st Choice DSEM,,,,3rd Choice DSEM,2nd Choice DSEM,,,,,,5th Choice DSEM,,,,,,I'm completely finished!
5/10/2022 18:55:46,,,,,,,,3rd Choice DSEM,,,,,,5th Choice DSEM,,,,1st Choice DSEM,2nd Choice DSEM,,,4th Choice DSEM,I'm completely finished!
5/10/2022 19:04:26,,1st Choice DSEM,,,,,,,,,5th Choice DSEM,,,4th Choice DSEM,,,,2nd Choice DSEM,,3rd Choice DSEM,,,I'm completely finished!
5/10/2022 19:40:08,5th Choice DSEM,,,4th Choice DSEM,,,,,,,,,2nd Choice DSEM,,,,,,1st Choice DSEM,3rd Choice DSEM,,,I'm completely finished!
5/10/2022 19:43:58,,,,,,,,,5th Choice DSEM,,2nd Choice DSEM,,,4th Choice DSEM,1st Choice DSEM,,3rd Choice DSEM,,,,,,I'm completely finished!
5/10/2022 20:09:37,,,,,,,,,,,,,,,3rd Choice DSEM,,,1st Choice DSEM,2nd Choice DSEM,,,,I'm completely finished!
5/10/2022 20:09:46,5th Choice DSEM,4th Choice DSEM,,3rd Choice DSEM,,,,,,,2nd Choice DSEM,,,,,,,,,,,1st Choice DSEM,I'm completely finished!
5/10/2022 21:06:29,,,3rd Choice DSEM,,,,,5th Choice DSEM,,,,,1st Choice DSEM,,2nd Choice DSEM,,,4th Choice DSEM,,,,,I'm completely finished!
5/10/2022 21:13:13,,2nd Choice DSEM,,,,3rd Choice DSEM,,,,5th Choice DSEM,1st Choice DSEM,,4th Choice DSEM,,,,,,,,,,I'm completely finished!
5/10/2022 22:05:12,,4th Choice DSEM,,,,,,2nd Choice DSEM,5th Choice DSEM,,,,,,3rd Choice DSEM,,,1st Choice DSEM,,,,,I'm completely finished!
5/11/2022 16:09:41,,1st Choice DSEM,,,,,,,,,,,5th Choice DSEM,,3rd Choice DSEM,,,2nd Choice DSEM,,,4th Choice DSEM,,I'm completely finished!
5/11/2022 19:40:20,,,,4th Choice DSEM,,,,,1st Choice DSEM,,2nd Choice DSEM,,,,,,,5th Choice DSEM,,,,3rd Choice DSEM,I'm completely finished!
5/11/2022 20:15:43,,3rd Choice DSEM,,,,,,2nd Choice DSEM,,,,,,,,,5th Choice DSEM,,1st Choice DSEM,4th Choice DSEM,,,I'm completely finished!
5/11/2022 21:16:11,4th Choice DSEM,,,,,,,,,,2nd Choice DSEM,,,1st Choice DSEM,,,,3rd Choice DSEM,,,,5th Choice DSEM,I'm completely finished!
5/11/2022 21:35:11,,4th Choice DSEM,,5th Choice DSEM,,,,,,,3rd Choice DSEM,,,1st Choice DSEM,,,,,,,,2nd Choice DSEM,I'm completely finished!
5/12/2022 8:53:19,,,,3rd Choice DSEM,,,,,4th Choice DSEM,,,,,,,1st Choice DSEM,,5th Choice DSEM,,,,2nd Choice DSEM,I'm completely finished!
5/12/2022 9:30:36,,5th Choice DSEM,2nd Choice DSEM,,,,,,,,1st Choice DSEM,,,4th Choice DSEM,,,3rd Choice DSEM,,,,,,I'm completely finished!
5/12/2022 11:58:02,,,,,1st Choice DSEM,,3rd Choice DSEM,,,,,,,4th Choice DSEM,,,,,2nd Choice DSEM,5th Choice DSEM,,,I'm completely finished!
5/12/2022 20:22:59,,4th Choice DSEM,,2nd Choice DSEM,,,5th Choice DSEM,,,,1st Choice DSEM,,,,,,,,,,3rd Choice DSEM,,I'm completely finished!
5/12/2022 21:37:10,,,3rd Choice DSEM,,,,,,4th Choice DSEM,,,,1st Choice DSEM,,,,2nd Choice DSEM,,,,5th Choice DSEM,,I'm completely finished!
5/12/2022 22:31:43,,,,,,5th Choice DSEM,,,,,,,,3rd Choice DSEM,4th Choice DSEM,,,,1st Choice DSEM,,2nd Choice DSEM,,I'm completely finished!
5/13/2022 10:58:53,,,,,,1st Choice DSEM,,,,4th Choice DSEM,3rd Choice DSEM,,,,,,,,2nd Choice DSEM,,,,I'm completely finished!
5/13/2022 13:00:18,,,,,4th Choice DSEM,3rd Choice DSEM,,,,,,,,5th Choice DSEM,2nd Choice DSEM,,,,,1st Choice DSEM,,,I'm completely finished!
5/13/2022 13:18:44,,4th Choice DSEM,,2nd Choice DSEM,,,,,,,1st Choice DSEM,,,3rd Choice DSEM,,,,5th Choice DSEM,,,,,I'm completely finished!
5/13/2022 17:14:22,,,,3rd Choice DSEM,,,5th Choice DSEM,,,,1st Choice DSEM,,,,4th Choice DSEM,,,,2nd Choice DSEM,,,,I'm completely finished!
5/14/2022 11:13:59,4th Choice DSEM,,,2nd Choice DSEM,,,,,,1st Choice DSEM,5th Choice DSEM,,,,,,,,,,3rd Choice DSEM,,I'm completely finished!
5/15/2022 12:26:34,,1st Choice DSEM,,,,,,,,,,,,,5th Choice DSEM,,,2nd Choice DSEM,3rd Choice DSEM,4th Choice DSEM,,,I'm completely finished!
5/15/2022 12:43:05,,4th Choice DSEM,,,,,,,3rd Choice DSEM,,1st Choice DSEM,,,2nd Choice DSEM,,,5th Choice DSEM,,,,,,I'm completely finished!
5/15/2022 13:28:23,,1st Choice DSEM,,,,,,3rd Choice DSEM,,,2nd Choice DSEM,,5th Choice DSEM,,,,,,,,4th Choice DSEM,,I'm completely finished!
5/15/2022 15:58:23,,,1st Choice DSEM,,,,,4th Choice DSEM,,3rd Choice DSEM,,,2nd Choice DSEM,,5th Choice DSEM,,,,,,,,I'm completely finished!
5/15/2022 16:29:13,3rd Choice DSEM,4th Choice DSEM,,2nd Choice DSEM,,,,,,,,,,,5th Choice DSEM,,,,1st Choice DSEM,,,,I'm completely finished!
5/15/2022 20:05:27,,1st Choice DSEM,,,,,,3rd Choice DSEM,,4th Choice DSEM,2nd Choice DSEM,,5th Choice DSEM,,,,,,,,,,I'm completely finished!
5/15/2022 20:40:25,,,,,,,,,,,,,4th Choice DSEM,,1st Choice DSEM,,5th Choice DSEM,,2nd Choice DSEM,,,3rd Choice DSEM,I'm completely finished!
5/15/2022 22:22:30,,,,4th Choice DSEM,,,,,,,3rd Choice DSEM,,,2nd Choice DSEM,,,,5th Choice DSEM,1st Choice DSEM,,,,I'm completely finished!
5/15/2022 22:32:22,5th Choice DSEM,2nd Choice DSEM,,,,,,3rd Choice DSEM,,,,,,4th Choice DSEM,,,,,1st Choice DSEM,,,,I'm completely finished!
5/16/2022 9:40:00,,,,,,1st Choice DSEM,,,,5th Choice DSEM,3rd Choice DSEM,,,,4th Choice DSEM,,,,2nd Choice DSEM,,,,I'm completely finished!
5/16/2022 12:39:20,,,,,3rd Choice DSEM,,5th Choice DSEM,,,,4th Choice DSEM,,,2nd Choice DSEM,,,,3rd Choice DSEM,,,,1st Choice DSEM,I'm completely finished!
5/16/2022 16:27:01,,4th Choice DSEM,,,,,,,,,5th Choice DSEM,,,,2nd Choice DSEM,,,1st Choice DSEM,3rd Choice DSEM,,,,I'm completely finished!
5/16/2022 16:39:00,,2nd Choice DSEM,,,,,,4th Choice DSEM,,,,,,,5th Choice DSEM,,3rd Choice DSEM,,,1st Choice DSEM,,,I'm completely finished!
5/16/2022 17:26:30,,2nd Choice DSEM,,,,,5th Choice DSEM,,4th Choice DSEM,,3rd Choice DSEM,1st Choice DSEM,,,,,,,,,,,I'm completely finished!
5/16/2022 17:29:30,,2nd Choice DSEM,1st Choice DSEM,3rd Choice DSEM,,5th Choice DSEM,,,,,,,,,,,4th Choice DSEM,,,,,,I'm completely finished!
5/17/2022 10:32:45,,2nd Choice DSEM,4th Choice DSEM,3rd Choice DSEM,,,,,,,1st Choice DSEM,,,5th Choice DSEM,,,,,,,,,I'm completely finished!
5/17/2022 12:44:56,,4th Choice DSEM,,,2nd Choice DSEM,,,,,,,,5th Choice DSEM,,3rd Choice DSEM,,1st Choice DSEM,,,,,,I'm completely finished!
5/17/2022 14:47:04,,5th Choice DSEM,,,2nd Choice DSEM,,,4th Choice DSEM,,,,,3rd Choice DSEM,,,,,1st Choice DSEM,,,,,I'm completely finished!
5/17/2022 19:13:45,4th Choice DSEM,,3rd Choice DSEM,,,5th Choice DSEM,,,,,,,,,,,,,2nd Choice DSEM,1st Choice DSEM,,,I'm completely finished!
5/18/2022 8:27:43,,,,,,,,,1st Choice DSEM,,,,,,5th Choice DSEM,,4th Choice DSEM,3rd Choice DSEM,,,2nd Choice DSEM,,I'm completely finished!
5/18/2022 11:31:27,,,,,,,,,,,,2nd Choice DSEM,,4th Choice DSEM,3rd Choice DSEM,,5th Choice DSEM,,1st Choice DSEM,,,,I'm completely finished!
5/18/2022 17:29:46,,,3rd Choice DSEM,,2nd Choice DSEM,4th Choice DSEM,,,,,,,,5th Choice DSEM,,,,,,1st Choice DSEM,,,I'm completely finished!
5/18/2022 18:03:14,,,,,,,,,,5th Choice DSEM,2nd Choice DSEM,,,3rd Choice DSEM,,,,1st Choice DSEM,,,4th Choice DSEM,,I'm completely finished!
5/19/2022 4:25:17,,3rd Choice DSEM,,,,,,,,,1st Choice DSEM,,,2nd Choice DSEM,,,,,,5th Choice DSEM,,4th Choice DSEM,I'm completely finished!
5/19/2022 19:13:01,,,,,2nd Choice DSEM,,,,,,5th Choice DSEM,3rd Choice DSEM,,,1st Choice DSEM,,,4th Choice DSEM,,,,,I'm completely finished!
5/20/2022 17:52:35,,5th Choice DSEM,2nd Choice DSEM,,,,,,3rd Choice DSEM,,,,,,4th Choice DSEM,,1st Choice DSEM,,,,,,I'm completely finished!
5/20/2022 23:13:23,,5th Choice DSEM,,,,4th Choice DSEM,,,,,1st Choice DSEM,,2nd Choice DSEM,,,,,3rd Choice DSEM,,,,,I'm completely finished!
5/21/2022 0:38:05,,,,,,,,,,,,,,,,5th Choice DSEM,,,,,,,I'm completely finished!
5/22/2022 10:14:47,,2nd Choice DSEM,,1st Choice DSEM,3rd Choice DSEM,,,5th Choice DSEM,,,,,,,,,,,4th Choice DSEM,,,,I'm completely finished!
5/22/2022 16:40:30,,5th Choice DSEM,,3rd Choice DSEM,,,,,,2nd Choice DSEM,1st Choice DSEM,,,4th Choice DSEM,,,,,,,,,I'm completely finished!
5/22/2022 17:25:02,,5th Choice DSEM,,,4th Choice DSEM,,,1st Choice DSEM,,,,,,,2nd Choice DSEM,,,3rd Choice DSEM,,,,,I'm completely finished!
5/23/2022 19:08:06,,,,4th Choice DSEM,,,,5th Choice DSEM,,,3rd Choice DSEM,,,1st Choice DSEM,,,,,,,,2nd Choice DSEM,I'm completely finished!
5/23/2022 22:39:04,,2nd Choice DSEM,,,,,,1st Choice DSEM,,,5th Choice DSEM,,4th Choice DSEM,,,,,3rd Choice DSEM,,,,,I'm completely finished!
5/24/2022 11:04:18,,3rd Choice DSEM,,2nd Choice DSEM,,,,,4th Choice DSEM,,1st Choice DSEM,,,5th Choice DSEM,,,,,,,,,I'm completely finished!
5/24/2022 18:10:10,5th Choice DSEM,3rd Choice DSEM,1st Choice DSEM,,,,,,,,,,,,,,,2nd Choice DSEM,,,4th Choice DSEM,,I'm completely finished!
5/25/2022 13:21:21,,1st Choice DSEM,,,,,,,5th Choice DSEM,,,,,,2nd Choice DSEM,,3rd Choice DSEM,4th Choice DSEM,,,,,I'm completely finished!
5/25/2022 16:47:24,,,,,,,,5th Choice DSEM,4th Choice DSEM,,,2nd Choice DSEM,3rd Choice DSEM,,,,,1st Choice DSEM,,,,,I'm completely finished!
5/26/2022 8:02:18,,2nd Choice DSEM,,,,,,,,3rd Choice DSEM,,,1st Choice DSEM,5th Choice DSEM,,,,,,4th Choice DSEM,,,I'm completely finished!
5/26/2022 12:06:56,2nd Choice DSEM,,,1st Choice DSEM,,,,,,,4th Choice DSEM,,,,,,,,5th Choice DSEM,,3rd Choice DSEM,,I'm completely finished!
5/26/2022 16:57:47,,1st Choice DSEM,,,,,,,,,5th Choice DSEM,,,,3rd Choice DSEM,,2nd Choice DSEM,,,4th Choice DSEM,,,I'm completely finished!
5/26/2022 20:43:31,,,,2nd Choice DSEM,,,,,,5th Choice DSEM,,,,3rd Choice DSEM,,,,,1st Choice DSEM,,4th Choice DSEM,,I'm completely finished!
5/27/2022 10:03:03,,4th Choice DSEM,,,,,,,,1st Choice DSEM,,,,,5th Choice DSEM,,,2nd Choice DSEM,,3rd Choice DSEM,,,I'm completely finished!
5/27/2022 14:16:14,,,,4th Choice DSEM,,,,,,3rd Choice DSEM,1st Choice DSEM,,,2nd Choice DSEM,,,,5th Choice DSEM,,,,,I'm completely finished!
5/27/2022 23:00:04,,,,,2nd Choice DSEM,,,,,,1st Choice DSEM,,3rd Choice DSEM,,,,,5th Choice DSEM,,,,4th Choice DSEM,I'm completely finished!
5/28/2022 18:50:28,,,,,,,,4th Choice DSEM,,,,,,,5th Choice DSEM,,,2nd Choice DSEM,1st Choice DSEM,3rd Choice DSEM,,,I'm completely finished!
5/28/2022 19:16:20,,5th Choice DSEM,,,,,,2nd Choice DSEM,,4th Choice DSEM,,,,,,,,1st Choice DSEM,,3rd Choice DSEM,,,I'm completely finished!
5/30/2022 14:30:18,,2nd Choice DSEM,,,4th Choice DSEM,,,,5th Choice DSEM,,,3rd Choice DSEM,,,,,,,,,,1st Choice DSEM,I'm completely finished!
5/30/2022 20:13:32,,2nd Choice DSEM,4th Choice DSEM,,,5th Choice DSEM,,,,,1st Choice DSEM,,,3rd Choice DSEM,,,,,,,,,I'm completely finished!
5/31/2022 8:24:00,,5th Choice DSEM,,,4th Choice DSEM,,,,,,,1st Choice DSEM,,3rd Choice DSEM,,,,2nd Choice DSEM,,,,,I'm completely finished!
5/31/2022 19:26:56,,,,2nd Choice DSEM,,,,,,5th Choice DSEM,,,4th Choice DSEM,,,,,,1st Choice DSEM,,,3rd Choice DSEM,I'm completely finished!
5/31/2022 21:13:10,,,,,1st Choice DSEM,,,,,,,3rd Choice DSEM,5th Choice DSEM,,,,2nd Choice DSEM,,,,,4th Choice DSEM,I'm completely finished!
6/2/2022 15:07:44,,,,,4th Choice DSEM,,,,,,2nd Choice DSEM,,1st Choice DSEM,,3rd Choice DSEM,5th Choice DSEM,,,,,,,I'm completely finished!
6/2/2022 15:39:34,,5th Choice DSEM,1st Choice DSEM,,,4th Choice DSEM,,,,,,,,,2nd Choice DSEM,,3rd Choice DSEM,,,,,,I'm completely finished!
